R1X;R1Y;R1Z;R2X;R2Y;R2Z;R3X;R3Y;R3Z;R4X;R4Y;R4Z;R5X;R5Y;R5Z;R6X;R6Y;R6Z;R7X;R7Y;R7Z;L1X;L1Y;L1Z;L2X;L2Y;L2Z;L3X;L3Y;L3Z;L4X;L4Y;L4Z;L5X;L5Y;L5Z;L6X;L6Y;L6Z;L7X;L7Y;L7Z
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,22;0,17;28,79;0,18;0,32;0.01;0.12;0.34;28.79;0.16;0.07;28.80;28.54;0.23;28.78;0.04;28.78;0.00;28.58;0.37;28.79
3,19;1,67;2,61;28,26;1,72;28,52;4,79;8,12;1,54;5,12;6,53;1,43;28,67;10,47;28,05;2,01;9,71;2,45;0,94;25,7;28,2;5,82;3,65;27,17;5,55;5,41;1.77;3.49;6.02;27.11;3.40;1.11;26.82;52.40;2.87;54.46;1.04;55.26;0.03;54.14;2.55;55.08
6,16;2,94;5,16;54,26;3,33;54,75;9,13;15,72;2,9;9,83;12,62;2,72;54,95;20,13;53,73;4,14;18,54;5;1,83;49,34;54,09;11,04;7;25,68;10,64;10,16;3.46;6.69;11.52;25.54;6.60;2.03;25.08;73.98;5.42;77.83;2.19;79.61;0.08;77.05;5.79;79.00
8,91;3,9;7,65;78,17;4,81;78,89;13,09;22,85;4,08;14,14;18,29;3,88;79,01;29,03;77,25;6,3;26,54;7,6;2,67;71,09;77,85;15,89;10,22;24,29;15,41;14,63;5.05;9.68;16.83;24.07;9.67;2.82;23.54;93.58;7.74;99.11;3.40;101.99;0.16;97.75;9.40;100.76
11,43;4,6;10,06;100,17;6,14;101,07;16,69;29,54;5,12;18,1;23,6;4,93;101,05;37,21;98,76;8,52;33,75;10,26;3,47;91,11;99,67;20,34;13,27;23,01;19,82;18,84;6.53;12.45;21.93;22.65;12.58;3.46;22.18;111.46;9.73;118.51;4.58;122.56;0.26;116.55;13.02;120.58
13,77;5,01;12,41;120,4;7,37;121,47;19,94;35,82;6,03;21,73;28,58;5,87;121,19;44,72;118,42;10,78;40,21;12,96;4,22;109,54;119,68;24,44;16,26;21,81;23,91;22,76;7.89;14.97;26.81;21.28;15.30;3.97;20.99;127.79;11.39;136.18;5.72;141.47;0.38;133.68;16.47;138.66
15,94;5,13;14,71;139,02;8,51;140,23;22,87;41,72;6,78;25,05;33,23;6,71;139,63;51,63;136,4;13,05;45,96;15,67;4,93;126,52;138,04;28,22;19,14;20,69;27,7;26,44;9.15;17.21;31.47;19.91;17.80;4.33;19.94;142.74;12.71;152.30;6.80;158.84;0.53;149.32;19.65;155.15
17,94;5,04;16,96;156,14;9,54;157,47;25,51;47,27;7,4;28,08;37,58;7,46;156,48;57,96;152,82;15,31;51,05;18,38;5,6;142,16;154,87;31,71;21,88;19,63;31,2;29,9;10.30;19.24;35.92;18.56;20.14;4.57;19.03;156.43;13.68;166.99;7.78;174.79;0.70;163.63;22.54;170.21
19,77;4,77;19,14;171,89;10,48;173,32;27,9;52,51;7,9;30,86;41,68;8,12;171,87;63,77;167,79;17,56;55,51;21,08;6,24;156,56;170,3;34,91;24,53;18,64;34,43;33,15;11.35;21.04;40.16;17.21;22.31;4.68;18.24;168.99;14.33;180.36;8.70;189.45;0.88;176.73;25.13;183.95
21,47;33,09;21,28;186,28;11,38;187,9;30,03;57,46;8,28;33,39;45,53;8,69;185,92;69,1;181,45;19,78;59,39;23,75;6,84;169,84;184,44;37,85;27,11;17,71;37,4;36,21;12.31;22.62;44.22;15.86;24.32;4.68;17.57;180.51;14.68;192.54;9.56;202.92;1.09;188.72;27.42;196.49
